HOSTNAME; STATUS; ATIVO; IP; REDE; SO; DOMINIO; OU
NO00064580; Desligado - DNS_ERRO; True; 10.24.210.102; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00064580,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00082866; Desligado - 1; True; 10.24.210.102; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00082866,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00076657; Desligado - 1; True; 10.24.210.102; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00076657,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00037826; Ligado - 0; True; 10.24.233.43; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00037826,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00083716; Desligado - 1; True; 10.24.233.43; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00083716,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00078577; Desligado - 1; True; 10.24.233.43; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00078577,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00081034; Ligado - 0; True; 10.24.233.199; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00081034,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00081011; Ligado - 0; True; 10.24.143.57; 255.255.255.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00081011,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00084555; Desligado - 1; True; 10.24.143.57; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00084555,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00083712; Ligado - 0; True; 10.24.237.35; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00083712,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00083706; Ligado - 0; True; 10.24.143.42; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00083706,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00083707; Ligado - 0; True; 10.24.234.113; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00083707,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00059949; Ligado - 0; True; 10.24.147.25; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00059949,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00071105; Desligado - 1; True; 10.24.147.25; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00071105,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00076367; Ligado - 0; True; 10.24.232.175; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00076367,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00070606; Desligado - 1; True; 10.24.232.175; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070606,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00064988; Desligado - 1; True; 10.24.232.175; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00064988,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00043951; Desligado - 1; True; 10.24.232.175; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00043951,OU=GERAL,OU=TIC-ES,OU=Notebooks,DC=petrobras,DC=biz
NO00089091; Desligado - 1; True; 10.24.232.175; 255.255.255.0 64 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00089091,OU=GERAL,OU=TIC-ES,OU=Notebooks,DC=petrobras,DC=biz
NO00086439; Desligado - 1; True; 10.24.232.175; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00086439,OU=GERAL,OU=TIC-ES,OU=Notebooks,DC=petrobras,DC=biz
NO00077692; Desligado - 1; True; 10.24.232.175; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00077692,OU=GERAL,OU=TIC-ES,OU=Notebooks,DC=petrobras,DC=biz
NO00070343; Desligado - 1; True; 10.24.232.175; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070343,OU=GERAL,OU=TIC-ES,OU=Notebooks,DC=petrobras,DC=biz
NO00072006; Ligado - 0; True; 10.24.197.71; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00072006,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00052442; Desligado - 1; True; 10.24.197.71; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00052442,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00081216; Ligado - 0; True; 10.24.148.88; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00081216,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00069248; Desligado - DNS_ERRO; True; 10.24.214.167; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00069248,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00050262; Ligado - 0; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00050262,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00087287; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00087287,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00050618; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00050618,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00050824; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00050824,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00036033; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00036033,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091264; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00091264,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00044554; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00044554,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00056583; Inexistente - 1; -; -; -; -; -
NO00076698; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00076698,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00073675; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00073675,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00051099; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00051099,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070851; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070851,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00080848; Desligado - 1; True; 10.162.132.163; 255.255.255.0 64 255.255.252.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00080848,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00095327; Ligado - 0; True; 10.24.238.250; 255.255.248.0 64; Windows 10 Enterprise; transp.biz; CN=NO00095327,OU=SEDE-RJ,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
NO00059064; Desligado - 1; True; 10.24.238.250; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00059064,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00059281; Desligado - 1; True; 10.24.238.250; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00059281,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00052898; Desligado - 1; True; 10.24.238.250; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00052898,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00059052; Desligado - 1; True; 10.24.238.250; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00059052,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00058390; Desligado - 1; True; 10.24.238.250; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00058390,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00061862; Desligado - 1; True; 10.24.238.250; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00061862,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00076573; Ligado - 0; True; 10.24.197.154; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00076573,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00049893; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00049893,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00049332; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00049332,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00066187; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00066187,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00044208; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00044208,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00059554; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00059554,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00074117; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00074117,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00094522; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00094522,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00062478; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00062478,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00071764; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00071764,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00044580; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00044580,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00049990; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00049990,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00058344; Desligado - 1; True; 10.24.197.154; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00058344,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00079852; Ligado - 0; True; 10.24.237.128; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00079852,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00074170; Desligado - 1; True; 10.24.237.128; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00074170,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091996; Desligado - 1; True; 10.24.237.128; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00091996,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00080890; Desligado - 1; True; 10.24.237.128; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00080890,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00062808; Desligado - 1; True; 10.24.237.128; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00062808,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00039491; Desligado - 1; True; 10.24.237.128; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00039491,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00046559; Desligado - 1; True; 10.24.237.128; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00046559,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070799; Desligado - 1; True; 10.24.237.128; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070799,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00094860; Ligado - 0; True; 10.24.232.30; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00094860,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO000062861; Desligado - 1; True; 10.24.232.30; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO000062861,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00095246; Desligado - 1; True; 10.24.232.30; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00095246,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00051504; Desligado - DNS_ERRO; True; 10.24.210.40; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00051504,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00077632; Ligado - 0; True; 10.24.200.99; ; Windows 7 Enterprise; petrobras.biz; CN=NO00077632,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00051307; Desligado - 1; True; 10.24.200.99; ; Windows 7 Enterprise; petrobras.biz; CN=NO00051307,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070937; Desligado - 1; True; 10.24.200.99; ; Windows 7 Enterprise; petrobras.biz; CN=NO00070937,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070849; Desligado - 1; True; 10.24.200.99; ; Windows 7 Enterprise; petrobras.biz; CN=NO00070849,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00074111; Desligado - DNS_ERRO; True; 10.28.38.36; ; Windows 7 Enterprise; petrobras.biz; CN=NO00074111,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00079831; Ligado - 0; True; 10.24.160.79; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00079831,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092496; Desligado - 1; True; 10.24.160.79; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00092496,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00040835; Desligado - 1; True; 10.24.160.79; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00040835,OU=COMPERJ,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070921; Desligado - 1; True; 10.24.160.79; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070921,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00069792; Desligado - 1; True; 10.24.160.79; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00069792,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00052796; Desligado - 1; True; 10.24.160.79; 255.255.255.0 64 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00052796,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00066692; Desligado - 1; True; 10.24.160.79; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00066692,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00078484; Desligado - DNS_ERRO; True; 10.28.35.72; ; Windows 10 Enterprise; petrobras.biz; CN=NO00078484,OU=REDUC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00051891; Desligado - 1; True; 10.28.35.72; ; Windows 10 Enterprise; petrobras.biz; CN=NO00051891,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091909; Desligado - 1; True; 10.28.35.72; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091909,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00075377; Ligado - 0; True; 10.24.233.147; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00075377,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00046561; Desligado - DNS_ERRO; True; 10.24.209.25; ; Windows 7 Enterprise; petrobras.biz; CN=NO00046561,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00043273; Ligado - 0; True; 10.24.192.131; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00043273,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00038171; Desligado - 1; True; 10.24.192.131; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00038171,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070903; Desligado - 1; True; 10.24.192.131; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070903,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00044259; Desligado - 1; True; 10.24.192.131; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00044259,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00058251; Desligado - DNS_ERRO; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00058251,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00094905; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00094905,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092903; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00092903,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091116; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00091116,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00065039; Inexistente - 1; -; -; -; -; -
NO00045185; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00045185,OU=COMPERJ,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092436; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00092436,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00071974; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00071974,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00057307; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00057307,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00066185; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00066185,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00064534; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00064534,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00050060; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00050060,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00050014; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00050014,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070956; Desligado - 1; True; 10.24.213.124; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070956,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092048; Ligado - 0; True; 10.24.154.37; 255.255.255.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00092048,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00062454; Desligado - 1; True; 10.24.154.37; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00062454,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00058180; Desligado - 1; True; 10.24.154.37; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00058180,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO033668; Desligado - 1; True; 10.24.154.37; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO033668,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00076811; Desligado - DNS_ERRO; True; 10.24.213.61; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00076811,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
